dataset,model,method,val_mean_iou,val_pool_iou,val_mean_f1,test_mean_iou,test_pool_iou,test_mean_f1
hkcd,siamese_pointnet,quantile_shrink,0.5745,0.5745,0.7298,0.3435,0.3404,0.4693
hkcd,siamese_pointnet,otsu_cube,0.3066,0.3066,0.4693,0.1609,0.1742,0.2733
hkcd,siamese_pointnet2,fixed_05,0.6075,0.6075,0.7558,0.4803,0.5226,0.6341
hkcd,siamese_pointnet2,f1_optimal,0.6158,0.6158,0.7622,0.5005,0.5504,0.6514
hkcd,siamese_pointnet2,temperature_scaling,0.6156,0.6156,0.7621,0.4993,0.5487,0.6504
hkcd,siamese_pointnet2,platt,0.6056,0.6056,0.7544,0.4984,0.5596,0.6469
hkcd,siamese_pointnet2,isotonic,0.601,0.601,0.7508,0.4925,0.5565,0.6406
hkcd,siamese_pointnet2,quantile_shrink,0.6158,0.6158,0.7622,0.5003,0.5501,0.6512
hkcd,siamese_pointnet2,otsu_cube,0.55,0.55,0.7097,0.3862,0.4157,0.5485
hkcd,siamgcn,fixed_05,0.6013,0.6013,0.751,0.339,0.3393,0.4829
hkcd,siamgcn,f1_optimal,0.6441,0.6441,0.7835,0.4446,0.4671,0.586
hkcd,siamgcn,temperature_scaling,0.6439,0.6439,0.7834,0.4481,0.4731,0.5898
hkcd,siamgcn,platt,0.639,0.639,0.7798,0.4671,0.51,0.6107
hkcd,siamgcn,isotonic,0.6377,0.6377,0.7788,0.4689,0.5148,0.613
hkcd,siamgcn,quantile_shrink,0.6495,0.6495,0.7875,0.4614,0.5,0.6071
hkcd,siamgcn,otsu_cube,0.5265,0.5265,0.6898,0.2688,0.2809,0.4133
indoorcd,randla,fixed_05,0.0928,0.1189,0.1522,0.1282,0.2011,0.2043
indoorcd,randla,f1_optimal,0.1122,0.1717,0.1754,0.158,0.2508,0.2381
indoorcd,randla,temperature_scaling,0.1126,0.174,0.1755,0.1588,0.2521,0.2385
indoorcd,randla,platt,0.0193,0.0461,0.033,0.0463,0.0737,0.0727
indoorcd,randla,isotonic,0.0436,0.0934,0.07,0.0741,0.1224,0.1139
indoorcd,randla,quantile_shrink,0.1237,0.1846,0.1902,0.1586,0.2405,0.2403
indoorcd,randla,otsu_cube,0.0827,0.0931,0.1383,0.108,0.1616,0.1756
indoorcd,siamese_kpconv,fixed_05,0.0271,0.0216,0.0503,0.0389,0.0443,0.0676
indoorcd,siamese_kpconv,f1_optimal,0.0533,0.0302,0.0908,0.0661,0.0645,0.1101
indoorcd,siamese_kpconv,temperature_scaling,0.0421,0.02,0.0695,0.0501,0.0484,0.0838
indoorcd,siamese_kpconv,platt,0.0,0.0,0.0,0.0,0.0,0.0
indoorcd,siamese_kpconv,isotonic,0.0,0.0,0.0,0.0,0.0,0.0
indoorcd,siamese_kpconv,quantile_shrink,0.0533,0.0302,0.0908,0.0661,0.0644,0.1101
indoorcd,siamese_kpconv,otsu_cube,0.0287,0.0225,0.0529,0.0366,0.0404,0.0652
indoorcd,siamese_pointnet,fixed_05,0.0396,0.0358,0.0709,0.0576,0.0711,0.0952
indoorcd,siamese_pointnet,f1_optimal,0.0774,0.0776,0.1228,0.1076,0.175,0.166
