dataset,sweep,value,is_main,model,pooled_test_auc,f1_optimal_test,quantile_shrink_test,quantile_shrink_gain,oracle_ceiling,oracle_headroom,mean_shrink_w_test,c,alpha,k,f1_optimal_tau,median_cubes_per_scene,total_kept_cubes,pct_zero_change_cubes,cube_drop_pct,n_val_scenes,n_test_scenes
urb3dcd_v2_ms,cube,50,1,icp_euclidean,0.9081,0.7175,0.7164,-0.0011,0.7279,0.0104,1.0,0.38,0.97,0.0,0.88,142.0,2603,3.0,9.4,2,3
urb3dcd_v2_ms,cube,75,0,siamese_pointnet,0.5471,0.2969,0.3061,0.0092,0.3854,0.0885,0.474,0.02,0.5,256.0,0.52,70.0,1260,1.4,8.5,2,3
urb3dcd_v2_ms,cube,75,0,siamese_pointnet2,0.9002,0.6651,0.6656,0.0005,0.6913,0.0262,0.89,0.62,0.5,4096.0,0.66,70.0,1260,1.4,8.5,2,3
urb3dcd_v2_ms,cube,75,0,siamese_kpconv,0.8718,0.598,0.6443,0.0463,0.7122,0.1142,0.994,0.48,0.6,0.0,0.78,70.0,1260,1.4,8.5,2,3
urb3dcd_v2_ms,cube,75,0,siamgcn,0.7735,0.4073,0.5299,0.1227,0.6165,0.2092,1.0,0.0,0.85,4.0,0.18,70.0,1260,1.4,8.5,2,3
urb3dcd_v2_ms,cube,75,0,randla,0.9483,0.7829,0.7842,0.0013,0.8059,0.0231,1.0,0.66,0.6,4.0,0.72,70.0,1260,1.4,8.5,2,3
urb3dcd_v2_ms,cube,75,0,icp_euclidean,0.9094,0.7166,0.7178,0.0012,0.7372,0.0205,0.832,0.38,0.95,4096.0,0.86,70.0,1260,1.4,8.5,2,3
hkcd,cube,25,0,siamese_pointnet,0.8879,0.5101,0.5125,0.0023,0.6543,0.1442,0.796,0.28,0.9,0.0,0.74,703.0,11981,38.6,3.8,1,2
hkcd,cube,25,0,siamese_pointnet2,0.9484,0.6901,0.6873,-0.0028,0.753,0.0629,0.384,0.64,0.6,4096.0,0.76,703.0,11981,38.6,3.8,1,2
hkcd,cube,25,0,siamese_kpconv,0.5902,0.2008,0.2277,0.027,0.532,0.3312,0.876,-0.2,0.999,256.0,0.02,703.0,11981,38.6,3.8,1,2
hkcd,cube,25,0,siamgcn,0.8098,0.4316,0.3795,-0.0521,0.5077,0.0761,0.082,0.48,0.7,0.0,0.94,703.0,11981,38.6,3.8,1,2
hkcd,cube,25,0,randla,0.9494,0.6639,0.6651,0.0012,0.7758,0.1118,0.994,0.1,1.0,0.0,0.58,703.0,11981,38.6,3.8,1,2
hkcd,cube,25,0,icp_euclidean,0.9132,0.5852,0.6399,0.0547,0.6942,0.109,1.0,0.5,1.0,0.0,0.98,703.0,11981,38.6,3.8,1,2
hkcd,cube,50,1,siamese_pointnet,0.8391,0.47,0.4693,-0.0007,0.5299,0.0599,0.863,0.02,0.97,64.0,0.5,180.0,3125,14.6,0.3,1,2
hkcd,cube,50,1,siamese_pointnet2,0.9273,0.6514,0.6512,-0.0002,0.6786,0.0272,0.997,0.12,1.0,0.0,0.62,180.0,3125,14.6,0.3,1,2
hkcd,cube,50,1,siamese_kpconv,0.5692,0.2234,0.1927,-0.0308,0.2837,0.0603,0.296,-0.14,0.5,0.0,0.02,180.0,3125,14.6,0.3,1,2
hkcd,cube,50,1,siamgcn,0.9106,0.586,0.6071,0.021,0.7081,0.1221,0.873,0.44,0.85,256.0,0.78,180.0,3125,14.6,0.3,1,2
hkcd,cube,50,1,randla,0.9255,0.6152,0.6153,0.0001,0.6849,0.0697,0.864,0.04,1.0,1024.0,0.54,180.0,3125,14.6,0.3,1,2
hkcd,cube,50,1,icp_euclidean,0.9157,0.5884,0.6316,0.0432,0.628,0.0397,0.786,0.5,0.999,1024.0,0.98,180.0,3125,14.6,0.3,1,2
hkcd,cube,75,0,siamese_pointnet,0.8421,0.4736,0.4734,-0.0001,0.5327,0.0592,0.794,-0.04,1.0,4096.0,0.46,80.0,1403,4.5,0.4,1,2
hkcd,cube,75,0,siamese_pointnet2,0.8879,0.5586,0.5555,-0.0031,0.5889,0.0303,0.924,0.44,0.7,1024.0,0.78,80.0,1403,4.5,0.4,1,2
hkcd,cube,75,0,siamese_kpconv,0.4437,0.1984,0.1846,-0.0137,0.2228,0.0245,0.217,0.5,1.0,1024.0,0.04,80.0,1403,4.5,0.4,1,2
hkcd,cube,75,0,siamgcn,0.8342,0.4756,0.5011,0.0256,0.5959,0.1204,0.846,-0.1,1.0,4096.0,0.3,80.0,1403,4.5,0.4,1,2
hkcd,cube,75,0,randla,0.8955,0.5701,0.5702,0.0001,0.6521,0.082,0.917,0.26,0.999,1024.0,0.76,80.0,1403,4.5,0.4,1,2
hkcd,cube,75,0,icp_euclidean,0.9162,0.5879,0.6318,0.0438,0.6098,0.0219,0.715,0.5,0.999,4096.0,0.98,80.0,1403,4.5,0.4,1,2
indoorcd,cube,1.0,0,siamese_pointnet,0.867,0.1485,0.1634,0.0149,0.3035,0.155,0.997,0.3,0.7,0.0,0.68,11.0,10715,83.5,26.1,78,160
indoorcd,cube,1.0,0,siamese_pointnet2,0.8951,0.2455,0.2481,0.0026,0.4076,0.162,0.823,0.36,0.995,1024.0,0.84,11.0,10715,83.5,26.1,78,160
indoorcd,cube,1.0,0,siamese_kpconv,0.7405,0.0823,0.0852,0.0029,0.1219,0.0396,0.457,0.0,0.97,4096.0,0.02,11.0,10715,83.5,26.1,78,160
indoorcd,cube,1.0,0,siamgcn,0.8375,0.2099,0.2101,0.0002,0.3487,0.1387,1.0,0.46,0.6,0.0,0.82,11.0,10715,83.5,26.1,78,160
indoorcd,cube,1.0,0,randla,0.8992,0.242,0.2498,0.0079,0.3563,0.1144,0.996,0.52,0.9,16.0,0.9,11.0,10715,83.5,26.1,78,160
indoorcd,cube,1.5,1,siamese_pointnet,0.853,0.166,0.155,-0.011,0.2891,0.123,0.998,0.44,0.75,4.0,0.84,7.0,6353,78.4,23.9,78,160
indoorcd,cube,1.5,1,siamese_pointnet2,0.8959,0.2359,0.2369,0.0009,0.3703,0.1343,1.0,0.36,0.99,0.0,0.82,7.0,6353,78.4,23.9,78,160
indoorcd,cube,1.5,1,siamese_kpconv,0.728,0.1101,0.1101,-0.0,0.3261,0.216,0.412,0.18,1.0,4096.0,0.68,7.0,6353,78.4,23.9,78,160
indoorcd,cube,1.5,1,siamgcn,0.8597,0.1816,0.1839,0.0023,0.2993,0.1178,0.987,0.32,0.97,64.0,0.78,7.0,6353,78.4,23.9,78,160
indoorcd,cube,1.5,1,randla,0.864,0.2381,0.2403,0.0022,0.3251,0.087,0.988,0.54,0.925,64.0,0.82,7.0,6353,78.4,23.9,78,160
indoorcd,cube,2.0,0,siamese_pointnet,0.8522,0.1646,0.1649,0.0003,0.2493,0.0847,0.873,0.22,0.995,1024.0,0.72,4.0,4732,74.3,24.0,78,160
indoorcd,cube,2.0,0,siamese_pointnet2,0.9077,0.2138,0.2154,0.0015,0.3525,0.1387,0.878,0.36,0.995,1024.0,0.84,4.0,4732,74.3,24.0,78,160
indoorcd,cube,2.0,0,siamese_kpconv,0.6781,0.0592,0.0645,0.0053,0.0682,0.009,0.848,0.0,0.6,0.0,0.7,4.0,4732,74.3,24.0,78,160
indoorcd,cube,2.0,0,siamgcn,0.8254,0.1458,0.1542,0.0084,0.2655,0.1196,1.0,0.22,0.97,0.0,0.7,4.0,4732,74.3,24.0,78,160
indoorcd,cube,2.0,0,randla,0.8896,0.234,0.2366,0.0026,0.3249,0.0909,0.705,0.42,0.99,4096.0,0.88,4.0,4732,74.3,24.0,78,160
