dataset,model,method,val_mean_p,val_mean_r,val_mean_f1,test_mean_p,test_mean_r,test_mean_f1,val_pool_p,val_pool_r,val_pool_f1,test_pool_p,test_pool_r,test_pool_f1
urb3dcd_v2_ms,randla,isotonic,0.8636,0.775,0.8167,0.863,0.7481,0.8012,0.8603,0.7747,0.8152,0.8625,0.7447,0.7993
urb3dcd_v2_ms,randla,platt,0.8722,0.7634,0.8141,0.8721,0.7365,0.7983,0.8689,0.7629,0.8125,0.8713,0.7329,0.7961
urb3dcd_v2_ms,randla,quantile_shrink,0.8353,0.8036,0.819,0.8333,0.7813,0.8062,0.8323,0.8035,0.8177,0.8338,0.7781,0.805
urb3dcd_v2_ms,randla,temperature_scaling,0.8328,0.8054,0.8187,0.8322,0.7819,0.806,0.8297,0.8054,0.8174,0.8326,0.7789,0.8049
urb3dcd_v2_ms,siamese_kpconv,f1_optimal,0.6903,0.6874,0.6883,0.7157,0.6518,0.6822,0.6898,0.6904,0.6901,0.7211,0.6541,0.686
urb3dcd_v2_ms,siamese_kpconv,fixed_05,0.2327,0.9926,0.3765,0.2112,0.9955,0.3451,0.2327,0.9925,0.3771,0.2124,0.9956,0.3501
urb3dcd_v2_ms,siamese_kpconv,isotonic,0.7375,0.6142,0.6695,0.7558,0.5677,0.6483,0.7363,0.6175,0.6717,0.7603,0.5699,0.6515
urb3dcd_v2_ms,siamese_kpconv,platt,0.7531,0.5865,0.6586,0.7682,0.5353,0.6309,0.7517,0.5898,0.6609,0.7723,0.5374,0.6338
urb3dcd_v2_ms,siamese_kpconv,quantile_shrink,0.6362,0.7614,0.693,0.6622,0.7292,0.6939,0.6363,0.7638,0.6942,0.6692,0.7309,0.6987
urb3dcd_v2_ms,siamese_kpconv,temperature_scaling,0.5782,0.8053,0.6731,0.6071,0.7877,0.6852,0.5786,0.8068,0.6739,0.6145,0.7897,0.6912
urb3dcd_v2_ms,siamese_pointnet,f1_optimal,0.2121,0.7244,0.3271,0.1865,0.8686,0.3028,0.2125,0.7126,0.3274,0.1852,0.864,0.305
urb3dcd_v2_ms,siamese_pointnet,fixed_05,0.1907,1.0,0.3199,0.1755,1.0,0.2953,0.1906,1.0,0.3202,0.175,1.0,0.2979
urb3dcd_v2_ms,siamese_pointnet,isotonic,0.6278,0.1027,0.17,0.245,0.254,0.2411,0.9462,0.0933,0.1699,0.2423,0.2385,0.2404
urb3dcd_v2_ms,siamese_pointnet,platt,0.0,0.0,0.0,1.0,0.0154,0.0296,0.0,0.0,0.0,1.0,0.0139,0.0274
urb3dcd_v2_ms,siamese_pointnet,quantile_shrink,0.2121,0.7244,0.3271,0.1865,0.8686,0.3028,0.2125,0.7126,0.3274,0.1852,0.864,0.305
urb3dcd_v2_ms,siamese_pointnet,temperature_scaling,0.1967,0.9103,0.3229,0.1816,0.9469,0.3012,0.1965,0.907,0.323,0.181,0.9472,0.304
urb3dcd_v2_ms,siamese_pointnet2,f1_optimal,0.7126,0.7398,0.7259,0.6896,0.6736,0.6808,0.7121,0.7398,0.7257,0.6957,0.669,0.6821
urb3dcd_v2_ms,siamese_pointnet2,fixed_05,0.763,0.6837,0.7212,0.7445,0.6157,0.6734,0.7615,0.6832,0.7202,0.7489,0.6097,0.6721
urb3dcd_v2_ms,siamese_pointnet2,isotonic,0.7916,0.6482,0.7127,0.775,0.5803,0.663,0.7896,0.6473,0.7114,0.7783,0.5734,0.6603
urb3dcd_v2_ms,siamese_pointnet2,platt,0.7827,0.6596,0.7159,0.7657,0.5916,0.6669,0.7808,0.6588,0.7147,0.7694,0.585,0.6647
urb3dcd_v2_ms,siamese_pointnet2,quantile_shrink,0.7146,0.7381,0.7261,0.6927,0.6712,0.6811,0.7141,0.738,0.7259,0.6987,0.6666,0.6823
urb3dcd_v2_ms,siamese_pointnet2,temperature_scaling,0.7277,0.7242,0.7259,0.7063,0.6576,0.6804,0.7268,0.724,0.7254,0.7119,0.6527,0.681
urb3dcd_v2_ms,siamgcn,f1_optimal,0.4941,0.4846,0.4887,0.3222,0.5736,0.4051,0.4934,0.478,0.4856,0.3218,0.5634,0.4097
urb3dcd_v2_ms,siamgcn,fixed_05,0.5424,0.44,0.4848,0.3513,0.5295,0.4145,0.5425,0.4328,0.4815,0.351,0.5194,0.4189
urb3dcd_v2_ms,siamgcn,isotonic,0.7337,0.2836,0.4035,0.4957,0.3496,0.4045,0.7474,0.2741,0.4011,0.4979,0.3417,0.4053
urb3dcd_v2_ms,siamgcn,platt,0.7733,0.252,0.3723,0.5386,0.3082,0.3877,0.7946,0.2419,0.3709,0.5424,0.3011,0.3872
urb3dcd_v2_ms,siamgcn,quantile_shrink,0.5031,0.4793,0.4899,0.3648,0.5449,0.4284,0.5031,0.4721,0.4871,0.3639,0.5331,0.4326
urb3dcd_v2_ms,siamgcn,temperature_scaling,0.4954,0.4833,0.4886,0.3231,0.5724,0.4055,0.4947,0.4766,0.4855,0.3227,0.5622,0.41
